# stage=ORICA,file=b01eeg_orica1
window,t0_s,t1_s,error,n_ic,n_brain,n_other,n_artifact,n_muscle,n_eye,n_heart,n_line_noise,n_channel_noise,mean_conf_pred,mean_conf_artifact_ics,mean_sum_P_artifact,avg_conf_brain,avg_conf_other,avg_conf_artifact,power_sum_brain,power_sum_other,power_sum_artifact,power_sum_total,mean_prob_brain,mean_prob_muscle,mean_prob_eye,mean_prob_heart,mean_prob_line_noise,mean_prob_channel_noise,mean_prob_other
0,0.0000,120.0000,,24,8,15,1,0,1,0,0,0,0.668792,0.855345,0.133697,0.616991,0.683981,0.855345,1.29986923e+05,2.29548296e+03,9.36721378e-01,1.32283343e+05,0.340312,0.003954,0.048300,0.024821,0.045263,0.011359,0.525991
1,120.0000,240.0000,,24,8,15,1,0,1,0,0,0,0.670347,0.670572,0.122731,0.634954,0.689208,0.670572,2.53319093e+00,3.13742478e+03,2.28948916e-01,3.14018692e+03,0.348587,0.003715,0.041312,0.017500,0.049552,0.010652,0.528682
2,240.0000,360.0000,,24,8,15,1,0,1,0,0,0,0.688470,0.621370,0.117785,0.712812,0.679961,0.621370,2.15166420e+00,2.98612325e+02,1.41202641e-01,3.00905192e+02,0.377098,0.006716,0.037547,0.014539,0.047174,0.011809,0.505117
3,360.0000,480.0000,,24,7,16,1,0,1,0,0,0,0.694801,0.622677,0.117389,0.724775,0.686194,0.622677,1.76768022e+00,3.23536722e+01,1.90360342e-01,3.43117128e+01,0.357581,0.003446,0.036609,0.018407,0.046789,0.012138,0.525030
4,480.0000,600.0000,,24,7,16,1,0,1,0,0,0,0.683274,0.700434,0.120881,0.700519,0.674657,0.700434,1.62644625e+00,7.93428628e+00,2.14985260e-01,9.77571779e+00,0.358157,0.006589,0.039609,0.014296,0.051574,0.008814,0.520962
5,600.0000,720.0000,,24,8,15,1,0,1,0,0,0,0.657656,0.508221,0.119414,0.677338,0.657121,0.508221,2.87997028e+00,4.61090537e+00,1.18854233e-01,7.60972989e+00,0.375394,0.003621,0.032483,0.014605,0.059868,0.008837,0.505192
6,720.0000,840.0000,,24,7,16,1,0,1,0,0,0,0.674919,0.676097,0.136826,0.651947,0.684896,0.676097,1.76023645e+00,5.62444492e+00,1.71739971e-01,7.55642135e+00,0.327444,0.006779,0.041613,0.011712,0.066878,0.009845,0.535731
7,840.0000,960.0000,,24,8,15,1,0,1,0,0,0,0.698315,0.589238,0.119436,0.687395,0.711411,0.589238,2.35811279e+00,8.26054465e+00,1.56322120e-01,1.07749796e+01,0.347368,0.004025,0.034380,0.009868,0.061423,0.009739,0.533197

# GLOBAL_SUMMARY,仅统计 error 为空的窗口
metric,value
successful_windows,8
total_ic_predictions,192
n_brain,61
n_other,123
n_artifact,8
pct_brain_percent,31.770833
pct_other_percent,64.062500
pct_artifact_percent,4.166667
