# stage=IIR,file=b01eeg_iir1
window,t0_s,t1_s,error,n_ic,n_brain,n_other,n_artifact,n_muscle,n_eye,n_heart,n_line_noise,n_channel_noise,mean_conf_pred,mean_conf_artifact_ics,mean_sum_P_artifact,avg_conf_brain,avg_conf_other,avg_conf_artifact,power_sum_brain,power_sum_other,power_sum_artifact,power_sum_total,mean_prob_brain,mean_prob_muscle,mean_prob_eye,mean_prob_heart,mean_prob_line_noise,mean_prob_channel_noise,mean_prob_other
0,0.0000,120.0000,,24,9,14,1,0,1,0,0,0,0.667442,0.936386,0.152546,0.594900,0.694866,0.936386,1.96821089e+01,2.68886955e+01,2.82651144e+00,4.93973158e+01,0.335681,0.011396,0.069651,0.013264,0.045832,0.012404,0.511772
1,120.0000,240.0000,,24,7,16,1,0,1,0,0,0,0.669132,0.902764,0.147128,0.630158,0.671582,0.902764,3.50933933e+00,1.31574012e+01,7.93881683e-01,1.74606222e+01,0.323584,0.006022,0.068033,0.013545,0.045701,0.013827,0.529288
2,240.0000,360.0000,,24,8,15,1,0,1,0,0,0,0.665038,0.742982,0.143055,0.643352,0.671407,0.742982,8.83485053e+00,5.49823824e+00,3.32995032e-01,1.46660838e+01,0.352413,0.019371,0.044214,0.016120,0.049924,0.013426,0.504532
3,360.0000,480.0000,,24,9,14,1,0,1,0,0,0,0.684324,0.831554,0.145743,0.621410,0.714252,0.831554,3.23244122e+00,5.16069445e+00,4.90587665e-01,8.88372333e+00,0.332387,0.004277,0.055293,0.016718,0.055204,0.014251,0.521869
4,480.0000,600.0000,,24,9,14,1,0,1,0,0,0,0.677510,0.820487,0.138733,0.637050,0.693308,0.820487,2.91807863e+00,5.12847421e+00,4.93071474e-01,8.53962432e+00,0.360725,0.016123,0.046817,0.015894,0.050443,0.009455,0.500542
5,600.0000,720.0000,,24,10,13,1,0,1,0,0,0,0.634301,0.691239,0.165898,0.641895,0.624078,0.691239,1.15195325e+01,5.49296582e+00,1.89634733e-01,1.72021331e+01,0.388430,0.007375,0.044536,0.030120,0.068949,0.014918,0.445673
6,720.0000,840.0000,,24,7,16,1,0,1,0,0,0,0.677246,0.769442,0.148795,0.640598,0.687518,0.769442,1.98649330e+00,6.56335472e+00,2.42885367e-01,8.79273338e+00,0.315361,0.008471,0.050768,0.012068,0.066537,0.010952,0.535844
7,840.0000,960.0000,,24,8,15,1,0,1,0,0,0,0.691128,0.660887,0.135232,0.629098,0.726227,0.660887,3.47444620e+00,1.38976441e+01,2.49066268e-01,1.76211566e+01,0.313478,0.007182,0.043793,0.015493,0.058593,0.010172,0.551289

# GLOBAL_SUMMARY,仅统计 error 为空的窗口
metric,value
successful_windows,8
total_ic_predictions,192
n_brain,67
n_other,117
n_artifact,8
pct_brain_percent,34.895833
pct_other_percent,60.937500
pct_artifact_percent,4.166667
