timestamp,kurtosis_mean,mi_mean,n_components,n_samples
2025-09-03T02:26:00.448485,1.4151492348738037,0.06652148308201164,22,5000
2025-09-03T02:26:01.722451,1.260633650925986,0.06860730901911916,22,5000
2025-09-03T02:26:02.899599,0.8653033420203382,0.06514641990315437,22,5000
2025-09-03T02:26:04.137674,0.8233805707444813,0.06351681088086321,22,5000
2025-09-03T02:26:05.288572,0.8888014544391616,0.059389098987003855,22,5000
2025-09-03T02:26:06.652095,1.019996449522276,0.061725420117488224,22,5000
2025-09-03T02:26:07.841828,0.9406220157052051,0.061883740620098264,22,5000
2025-09-03T02:28:03.236623,31.222641055876114,0.043207825449015254,22,5000
2025-09-03T02:28:04.225380,21.91903907977434,0.036875624315607515,22,5000
2025-09-03T02:28:05.479425,25.291993540322377,0.037063161816182785,22,5000
2025-09-03T02:28:06.570106,23.66545033192635,0.03677709376325047,22,5000
2025-09-03T03:15:32.495513,1.895739005561,0.0653986186106794,22,5000
2025-09-03T03:15:34.845329,1.4655257440728962,0.07704751529707086,22,5000
2025-09-03T03:27:45.799029,2.2817970333002324,0.07777968256059789,22,5000
2025-09-03T03:27:46.804176,1.8985685837723019,0.07932580491368948,22,5000
2025-09-03T03:27:48.018367,1.8261937976395133,0.08772234749829796,22,5000
2025-09-03T03:27:49.071369,2.3588492636115332,0.08620972662365378,22,5000
2025-09-03T03:27:50.110968,2.234820690944284,0.08808920504818046,22,5000
2025-09-03T03:27:51.150773,2.3336266087563855,0.09093911329557887,22,5000
2025-09-03T03:27:52.530885,1.7031659456709514,0.07773566409077186,22,5000
2025-09-03T03:27:53.455304,1.6949251809947412,0.07025977151707663,22,5000
2025-09-03T03:27:54.570426,1.850903413576745,0.07187770169539714,22,5000
2025-09-03T03:27:55.595025,1.812700864404477,0.0664343882718666,22,5000
2025-09-03T03:27:56.843804,1.8122034534490894,0.06978101621901307,22,5000
2025-09-03T03:27:57.901278,2.1428851924228134,0.0636291745532925,22,5000
2025-09-03T03:27:59.072729,3.196556959871401,0.050874184011414685,22,5000
2025-09-03T03:28:00.265230,0.8148447088957421,0.04974680622169793,22,5000
2025-09-03T03:28:01.362743,1.8191461186913271,0.05929706107703899,22,5000
2025-09-03T03:28:02.383817,1.612013143877345,0.07270566388702096,22,5000
2025-09-03T03:28:03.697929,1.7578283962186398,0.06598630057170694,22,5000
2025-09-03T03:28:04.613286,1.6140201890966899,0.0716652548020688,22,5000
2025-09-03T03:28:05.743449,1.3025744701495037,0.06799522331306404,22,5000
2025-09-03T03:28:07.025155,1.3708186726600389,0.07064615150207355,22,5000
2025-09-03T03:28:08.156657,1.688880919742394,0.0710238033713375,22,5000
2025-09-03T03:28:09.273963,1.2993599221255794,0.07931610205559977,22,5000
2025-09-03T03:28:10.565262,1.61505234738881,0.08024422622651169,22,5000
2025-09-03T03:28:11.609754,1.3127486851178256,0.07752936183252415,22,5000
2025-09-03T03:28:12.727174,1.6390991747056987,0.07548631236696206,22,5000
2025-09-03T03:28:13.939559,1.7083483346263035,0.07434334466338428,22,5000
2025-09-03T03:28:15.000468,1.5415041012981299,0.07376184741118107,22,5000
2025-09-03T03:28:16.106448,1.336284770559467,0.07568463184051984,22,5000
2025-09-03T03:28:17.035136,1.6933390637985566,0.07173586001655459,22,5000
2025-09-03T03:28:18.282637,1.4175558761783564,0.07863801906240085,22,5000
2025-09-03T03:28:19.284887,1.7149863805647285,0.07358907608125294,22,5000
2025-09-03T03:28:20.402996,1.3874825905302122,0.07263614587408106,22,5000
2025-09-03T03:28:21.622618,1.0558890608943463,0.06214551300010855,22,5000
2025-09-03T03:28:22.773686,1.1453824222363904,0.062241465207512885,22,5000
2025-09-03T03:28:23.889144,1.1472785013843698,0.0653658054255324,22,5000
2025-09-03T03:28:25.131015,1.5288612320118367,0.06588728248358798,22,5000
2025-09-03T03:28:26.122811,1.198029658563896,0.06716833021749279,22,5000
2025-09-03T03:28:27.254499,1.2897918896165446,0.07049940388382234,22,5000
2025-09-03T03:28:28.548126,1.0780055389590297,0.07264797785809804,22,5000
2025-09-03T03:28:29.599593,1.1159880043229082,0.06933624279457358,22,5000
2025-09-03T03:28:30.743182,0.9855160453601688,0.06735373523296258,22,5000
2025-09-03T03:28:31.936970,1.2974811847178633,0.06653132377579295,22,5000
2025-09-03T03:28:32.968143,1.321062745121276,0.0673160236041792,22,5000
2025-09-03T03:28:34.152850,1.0732552924647167,0.06502238668154925,22,5000
2025-09-03T03:28:35.263509,0.9680196917414938,0.07071257168596455,22,5000
2025-09-03T03:28:36.292536,0.7557218595604202,0.06639716248327328,22,5000
2025-09-03T03:28:37.353897,1.1246436531052748,0.0622140967768525,22,5000
2025-09-03T03:28:38.535474,1.1866002288567652,0.05851870317213161,22,5000
2025-09-03T03:28:39.672508,1.7009110396223939,0.06301047631251734,22,5000
2025-09-03T03:28:40.738175,1.6379492740956656,0.05577879275679821,22,5000
2025-09-03T03:28:42.017123,2.114524776078555,0.058750984981531036,22,5000
